Reqeusted periods for saving special CFMIP model output,,,appearing in cfMon table,,,,,,,,appearing in cfOff,,appearing in  cfDay,,,,appearing in cf3hr,,,,appearing in cfSites,,,
Experiment  Name,Experiment Description,Experiment number,CFMIP monthly 3D (A1c_cfmip),,CFMIP monthly 4xCO2 2D,,CFMIP monthly 4xCO2 3D,,"CFMIP monthly inline (A1d,f,g)",,CFMIP monthly offline (A1e),,"CFMIP daily 2D (A2a,c,f)",,"CFMIP daily 3D (A2b,d,g)",,CFMIP 3-hourly orbital offline (A2e),,CFMIP 3-hourly inline (A4),,CFMIP time-step station data (A3),,,
pre-industrial control,coupled atmosphere/ocean control run,3.1,,,1*,20*, , ,121*,140*,,,121*,140*,136*,140*,,,,,,,,
historical,simulation of recent past (1850-2005),3.2,,,,,,,1979,2005,,,1979,2005,,,,,,,,,,
AMIP,AMIP (1979-at least 2008),3.3,1979,2008,1979,2008,1979,2008,1979,2008,2008,2008,1979,2008,1979,2008,2008,2008,2008,2008,1979,2008,,
ESM fixed climate 1,"radiation code ""sees"" control CO2, but carbon cycle sees 1%/yr rise",5.4-1,,,,,,,121,140,,,121,140,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ESM feedback 1,"carbon cycle ""sees"" control CO2, but radiatation sees 1%/yr rise",5.5-1,,,,,,,121,140,,,121,140,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1 percent per year CO2,impose a 1%/yr increase in CO2 to quadrupling,6.1,,,,,,,121,140,,,121,140,136,140,,,,,,,,
control SST climatology,control run climatological SSTs & sea ice imposed.,6.2a,,,1,30, , ,1,30,,,1,30,,,,,,,,,,
CO2 forcing,"as in expt. 6.2a, but with 4XCO2 imposed",6.2b,,,,,,,1,30,,,1,30,,,,,,,,,,
abrupt 4XCO2,"impose an instantaneous quadrupling of CO2, then hold fixed",6.3,,,,,,,1,20,,,,,,,,,,,,,,
abrupt 4XCO2,"impose an instantaneous quadrupling of CO2, then hold fixed",6.3,,,,,,,121,140,,,121,140,136,140,,,,,,,,
abrupt 4XCO2,"generate an ensemble of runs like expt. 6.3, initialized in different months, and terminated after 5 years",6.3-E,,,,,,,1,5,,,1,5,,,,,,,,,,
all aerosol forcing,"as in expt. 6.2a, but with aerosols from year 2000 of expt. 3.2",6.4a,,,,,,,1,30,,,1,30,,,,,,,,,,
sulfate aerosol forcing,"as in expt. 6.2a, but with sulfate aerosols from year 2000 of expt. 3.2",6.4b,,,,,,,1,30,,,1,30,,,,,,,,
4xCO2 AMIP,AMIP (1979-2008) conditions (expt. 3.3) but with 4xCO2,6.5,1979,2008, , , , ,1979,2008,2008,2008,1979,2008,1979,2008,2008,2008,,,1979,2008
AMIP plus patterned anomaly,"consistent with CFMIP, patterned SST anomalies added to AMIP conditions (expt. 3.3)",6.6,1979,2008, , , , ,1979,2008,2008,2008,1979,2008,1979,2008,2008,2008,,,1979,2008
aqua planet control,"consistent with CFMIP, zonally uniform SSTs for ocean-covered earth",6.7a,1,5,1,5,1,5,1,5,,,1,5,1,5,,,,,1,5
4xCO2 aqua planet,"as in expt. 6.7a, but with 4XCO2",6.7b,1,5,,,,,1,5,,,1,5,1,5,,,,,1,5
aqua planet plus 4K anomaly,"as in expt. 6.7a, but with a uniform 4K increase in SST",6.7c,1,5,,,,,1,5,,,1,5,1,5,,,,,1,5
AMIP plus 4K anomaly,"as in expt. 3.3, but with a uniform 4K increase in SST",6.8,1979,2008, , , , ,1979,2008,2008,2008,1979,2008,1979,2008,2008,2008,,,1979,2008
"* The years specified for the pre-industrial experiment are relative to the point in this control where expts. 6.1 and 6.3 were initiated.  6.1 and 6.3 should be initiated from the same point in the control run, so that the control run sampled output can be compared directly to each of these runs, and any drift in the control can be accounted for.  ",,,,,,,,,,,,,,,,,,,,,,
